mean_energy,std_energy,median_energy,top_bin_1,top_bin_2,top_bin_3,time_mean_mean,time_mean_std,file_id,species
-58.33422301222166,16.60082143039541,-59.532758712768555,29,28,30,-58.33422301222166,2.8807722694238245,ML183628,american_toad
-54.38065096604575,15.54037372971679,-54.60505676269531,30,29,31,-54.38065096604575,3.1921549519567445,ML183629,american_toad
-56.05615894081559,16.07435274407427,-56.444400787353516,30,29,31,-56.05615894081559,2.8345559019759308,ML183630,american_toad
-57.24946340545148,14.261010961835723,-59.55211067199707,29,30,28,-57.24946340545148,4.742623929488225,ML183631,american_toad
-50.72296763399914,17.09463204472297,-52.40616989135742,28,27,29,-50.72296763399914,3.7590922469050025,ML183683,american_toad
-52.61130210919751,17.815726230280077,-53.66219711303711,32,33,31,-52.61130210919751,3.9774048080876803,ML183684,american_toad
-51.272660357735,15.571938206910126,-52.79579162597656,30,31,29,-51.272660357735,3.9518957524486398,ML183695,american_toad
-54.69089928438796,13.844127114184449,-57.5668830871582,30,29,31,-54.69089928438796,6.1042754238289545,ML183698,american_toad
-57.46894438931256,12.943191847353667,-60.32048797607422,29,28,30,-57.46894438931256,3.9261452549214124,ML183699,american_toad
-50.62231980589177,17.586826672946394,-52.09232711791992,31,32,30,-50.62231980589177,10.535330403568553,ML184398,american_toad
-49.40499542041611,13.266562977283364,-50.98444747924805,31,30,32,-49.40499542041611,6.1758525369144275,ML184399,american_toad
-52.88664785120852,10.635471485809907,-55.781686782836914,26,27,25,-52.88664785120852,1.303846846409393,ML187355,american_toad
-57.222436908087985,15.665684926297562,-60.81891632080078,27,26,28,-57.222436908087985,2.4088497129984354,ML189570,american_toad
-48.39114327445246,15.366594938536476,-48.73312568664551,31,30,32,-48.39114327445246,4.630138059563578,ML190896,american_toad
-48.57290920950559,16.356334513985292,-49.17177391052246,27,26,28,-48.57290920950559,7.138781482569824,ML199741,american_toad
-58.51147810537411,14.544106559401285,-60.12470245361328,30,29,31,-58.51147810537411,4.408544431373816,ML200896,american_toad
-51.52094980956783,15.312591746089389,-53.175859451293945,29,30,28,-51.52094980956783,4.10881465845937,ML200897,american_toad
-48.82097877935439,17.103129640251012,-48.26407051086426,29,28,30,-48.82097877935439,1.7467449839959948,ML200899,american_toad
-47.38455557124797,17.415087353237936,-46.44109535217285,35,36,44,-47.38455557124797,4.8890418264732185,ML202391,american_toad
-42.20754659895001,18.176209031752308,-38.020036697387695,33,32,34,-42.20754659895001,3.3431624940172213,ML202392,american_toad
-42.127724234853154,17.125792836702608,-38.03109550476074,31,32,30,-42.127724234853154,3.497404168958045,ML202394,american_toad
-43.42955893907359,18.938042919516185,-40.25732612609863,44,45,36,-43.42955893907359,5.672035568719329,ML202398,american_toad
-37.631115786402795,6.810399026791008,-38.59348106384277,50,51,49,-37.631115786402795,3.414417254298462,ML206078,american_toad
-37.685749600751635,5.84250718160046,-38.35218811035156,49,50,48,-37.685749600751635,3.014856869890199,ML206079,american_toad
-40.02269100271632,5.8082513157913445,-40.39548301696777,30,31,50,-40.02269100271632,2.5868651937544085,ML206081,american_toad
-51.19285012335622,12.602431435024503,-55.18743705749512,31,32,30,-51.19285012335622,2.7457663011360722,ML207065,american_toad
-49.17957315744353,12.553354802933717,-52.8609733581543,30,29,31,-49.17957315744353,2.512244486704714,ML207066,american_toad
-47.17640521994461,14.292587529884967,-50.598039627075195,31,30,32,-47.17640521994461,2.585165448511281,ML207067,american_toad
-36.234995791744744,10.598920509727082,-36.79497718811035,35,36,7,-36.234995791744744,5.568942386726128,ML207069,american_toad
-50.98811982917813,12.904233460751282,-54.619876861572266,30,31,29,-50.98811982917813,4.234243536186272,ML207070,american_toad
-54.84300724204344,15.366245249413288,-55.35878372192383,32,33,31,-54.84300724204344,9.607006051045389,ML207071,american_toad
